Track ID,From Track,Signal Name,Direction,Station ID,Next Station,Distance to Station,Length,Trip Count,Trip Total,Percent,Is Revenue,Line
TROS227T,TROS231T,S227,2,ROS,ROS2,0,166.116,11833.5552,30171.1944,0.39221368,1,1
TROS5T,TROS227T,S221(x5),2,BLO,BLO2,579.4248,161.8488,11999.6712,30171.1944,0.397719462,1,1
TBLO215T,TROS5T,S215,2,BLO,BLO2,417.576,171.6024,12161.52,30171.1944,0.40308381,1,1
TBLO211T,TBLO215T,S211,2,BLO,BLO2,245.9736,88.392,12333.1224,30171.1944,0.408771434,1,1
TBLO3TA,TBLO211T,S207,2,BLO,BLO2,157.5816,157.5816,12421.5144,30171.1944,0.411701116,1,1
TBLO201T,TBLO3TA,NA202,2,BLO,BLO2,0,170.688,12579.096,30171.1944,0.416924031,1,1
TBLO7T,TBLO201T,S197(X7),2,WEL,WEL2,377.6472,131.064,12749.784,30171.1944,0.422581348,1,1
TBLO193T,TBLO7T,S193,2,WEL,WEL2,246.5832,120.7008,12880.848,30171.1944,0.426925359,1,1
TBLO189T,TBLO193T,S189,2,WEL,WEL2,125.8824,92.6592,13001.5488,30171.1944,0.43092589,1,1
TWEL185T,TBLO189T,S185**,2,WEL,WEL2,33.2232,33.2232,13094.208,30171.1944,0.433997005,1,1
TWEL183T,TWEL185T,S183,2,WEL,WEL2,0,167.3352,13127.4312,30171.1944,0.435098161,1,1
TWEL179T,TWEL183T,S179,2,COL,COL2,364.236,116.4336,13294.7664,30171.1944,0.440644352,1,1
TWEL175T,TWEL179T,S175,2,COL,COL2,247.8024,95.7072,13411.2,30171.1944,0.44450345,1,1
TCOL171T,TWEL175T,S171,2,COL,COL2,152.0952,74.9808,13506.9072,30171.1944,0.447675588,1,1
TCOL169T,TCOL171T,S169**,2,COL,COL2,77.1144,77.1144,13581.888,30171.1944,0.450160767,1,1
TCOL167T,TCOL169T,S167,2,COL,COL2,0,163.9824,13659.0024,30171.1944,0.452716661,1,1
TCOL161T,TCOL167T,S161,2,DUN,DUN2,330.4032,117.6528,13822.9848,30171.1944,0.458151726,1,1
TDUN155T,TCOL161T,S155,2,DUN,DUN2,212.7504,128.9304,13940.6376,30171.1944,0.462051234,1,1
TDUN153T,TDUN155T,S153**,2,DUN,DUN2,83.82,83.82,14069.568,30171.1944,0.466324528,1,1
TDUN151T,TDUN153T,S151,2,DUN,DUN2,0,167.3352,14153.388,30171.1944,0.469102675,1,1
TDUN145T,TDUN151T,S145,2,QUN,QUN2,270.9672,84.1248,14320.7232,30171.1944,0.474648866,1,1
TQUN141T,TDUN145T,S141,2,QUN,QUN2,186.8424,152.4,14404.848,30171.1944,0.477437115,1,1
